id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
23,no,adult,528121,37.3,44.0,10.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,,,distend_large,46.0,7.9,clear,,1,yes,7112,0,0,yes
24,no,adult,527080,36.7,128.0,30.0,cool,reduced,pale_pink,more_3_sec,severe_pain,hypomotile,moderate,,,,,,42.0,8.9,,,0,yes,4205,0,0,no
25,yes,adult,533252,38.8,84.0,12.0,cool,,normal_pink,less_3_sec,,,,,,,,,35.0,6.0,,,1,no,0,0,0,no
26,yes,adult,529398,36.9,39.0,30.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,less_1_liter,,,distend_large,65.0,6.5,serosanguious,,0,yes,4205,0,0,no
27,yes,adult,529788,37.2,40.0,,,,,less_3_sec,,,,,,,,,,,,,1,yes,2120,0,0,no
28,yes,adult,527883,38.6,52.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,,,decreased,distend_large,33.0,65.0,clear,1.0,1,no,3111,0,0,no
29,yes,adult,529905,36.9,88.0,16.0,,,pale_cyanotic,less_3_sec,,,,,,,,,51.0,5.8,,,1,yes,3112,0,0,yes
30,yes,adult,529142,,39.0,,cool,normal,dark_cyanotic,less_3_sec,extreme_pain,absent,moderate,significant,more_1_liter,,absent,normal,45.0,77.5,clear,2.0,1,yes,2207,0,0,no
31,no,adult,529708,,,30.0,,,pale_pink,less_3_sec,extreme_pain,hypermotile,slight,slight,less_1_liter,,absent,distend_small,46.0,6.6,,,0,yes,4111,0,0,no
32,no,adult,534048,37.1,44.0,22.0,cool,,,less_3_sec,mild_pain,,,slight,none,,absent,distend_large,43.0,65.0,,,1,no,3206,0,0,no
33,yes,adult,528173,,39.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,slight,slight,less_1_liter,3.0,absent,normal,68.0,6.1,,,1,yes,2205,0,0,no
34,yes,young,529218,37.1,72.0,,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,slight,less_1_liter,,normal,,38.0,7.0,clear,1.3,1,yes,5269,0,0,yes
35,yes,adult,528140,37.1,62.0,,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,,normal,,44.0,66.0,cloudy,2.0,1,no,2208,0,0,yes
36,yes,adult,534585,38.0,62.0,11.0,cold,reduced,bright_pink,less_3_sec,alert,hypomotile,slight,slight,none,7.0,decreased,distend_small,42.0,7.5,clear,3.0,1,no,0,0,0,yes
37,yes,adult,527541,38.6,62.0,18.0,cool,reduced,bright_pink,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,4.0,decreased,distend_large,50.0,77.0,serosanguious,2.0,0,yes,13463,0,0,no
38,yes,adult,527616,,,,cold,reduced,pale_pink,more_3_sec,,absent,moderate,significant,less_1_liter,,absent,distend_large,43.0,6.5,,,1,yes,2206,0,0,no
39,no,adult,528295,38.1,39.0,26.0,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,none,none,more_1_liter,2.0,,distend_small,57.0,7.0,serosanguious,,0,yes,2622,0,0,no
40,yes,adult,5297447,38.6,38.0,24.0,normal,reduced,pale_pink,less_3_sec,depressed,hypomotile,none,,more_1_liter,2.0,,distend_large,47.0,8.7,,,1,yes,3111,0,0,no
41,no,adult,529829,36.7,,24.0,cool,normal,pale_pink,less_3_sec,depressed,hypomotile,none,slight,none,,normal,distend_large,31.0,6.0,,,0,no,7260,0,0,no
42,yes,adult,535101,37.0,69.0,12.0,warm,,normal_pink,less_3_sec,alert,hypomotile,slight,,,,normal,normal,35.0,74.0,,,1,no,0,0,0,no
43,no,adult,530530,38.2,40.0,16.0,cool,normal,bright_pink,less_3_sec,alert,normal,slight,slight,none,,normal,normal,32.0,7.0,,,1,no,0,0,0,yes
44,no,adult,529105,39.5,86.0,30.0,cold,reduced,,more_3_sec,severe_pain,absent,moderate,none,less_1_liter,,decreased,distend_large,,8.0,serosanguious,4.0,0,yes,2207,0,0,yes
45,no,adult,530252,38.6,60.0,20.0,normal,normal,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,,,absent,distend_large,39.0,5.6,,,1,yes,2124,0,0,no
46,yes,adult,534259,37.5,40.0,10.0,cool,normal,normal_pink,more_3_sec,depressed,hypomotile,slight,,,,decreased,distend_small,33.0,61.0,,,1,no,3111,0,0,no
47,yes,adult,534759,,38.0,44.0,cool,reduced,,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,,decreased,distend_large,51.0,18.0,serosanguious,,0,no,3111,0,0,no
48,yes,adult,530298,,39.0,,warm,reduced,,less_3_sec,extreme_pain,absent,severe,,,,absent,distend_small,31.9,,clear,,0,yes,2208,0,0,no
49,yes,young,534340,38.1,,18.0,cool,,,less_3_sec,depressed,hypermotile,,,,,,distend_large,43.0,5.2,,,1,no,0,0,0,no
50,no,adult,535152,38.7,80.0,30.0,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,none,more_1_liter,4.0,absent,distend_small,39.0,65.0,serosanguious,3.0,0,yes,1646,0,0,no
51,no,adult,529482,36.8,104.0,,warm,reduced,,more_3_sec,extreme_pain,hypomotile,,,,,,distend_large,,,,,0,yes,3206,0,0,no
52,yes,adult,530190,39.2,,16.0,cold,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,none,2.0,decreased,,65.0,6.5,serosanguious,1.3,0,yes,2205,0,0,yes
53,no,adult,530165,38.0,86.0,38.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,significant,less_1_liter,4.0,absent,distend_large,66.0,6.3,cloudy,,0,yes,1653,0,0,yes
54,yes,adult,528762,38.0,38.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,,normal,distend_large,43.0,8.0,serosanguious,1.0,1,yes,2208,0,0,yes
55,yes,young,527138,,,,cool,_RARE_,pale_cyanotic,more_3_sec,severe_pain,absent,,none,none,,,normal,,,,,1,yes,5648,0,0,no
56,yes,adult,534186,36.7,48.0,16.0,cool,normal,,,,hypomotile,severe,,,,,,37.0,56.0,,,1,yes,3111,0,0,no
57,yes,young,528157,37.5,76.0,26.0,normal,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.5,normal,distend_large,50.0,5.0,clear,2.4,0,yes,2292,0,0,yes
58,no,adult,5298162,,70.0,28.0,cool,reduced,pale_cyanotic,_RARE_,extreme_pain,absent,severe,,less_1_liter,,decreased,distend_large,68.0,7.5,,,0,yes,2306,0,0,yes
59,yes,adult,5276939,39.5,100.0,,,,pale_pink,_RARE_,alert,normal,,,,,,,,,clear,,1,no,2208,0,0,yes
60,yes,adult,1613187,38.5,62.0,15.0,normal,normal,,less_3_sec,mild_pain,hypermotile,slight,slight,,,normal,,34.0,76.0,clear,2.0,1,no,0,0,0,yes
61,no,adult,527473,37.7,42.0,40.0,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,none,,more_1_liter,,absent,distend_large,,7.0,,,0,yes,2208,0,0,no
62,yes,young,535176,39.0,145.0,35.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,,absent,,58.0,,cloudy,2.3,0,yes,4205,0,0,yes
63,no,adult,535254,38.8,40.0,46.0,cold,normal,normal_pink,less_3_sec,alert,absent,slight,none,,,,other,31.0,63.0,,,1,no,0,0,0,no
64,no,adult,535253,39.5,38.0,82.0,,,,less_3_sec,mild_pain,normal,slight,,,,,,31.9,,,,0,no,0,0,0,no
65,yes,young,529963,,52.0,28.0,,,,less_3_sec,severe_pain,,,,,,absent,,,,cloudy,2.6,0,no,3206,0,0,yes
66,yes,adult,530392,,60.0,12.0,cool,normal,bright_pink,more_3_sec,mild_pain,hypomotile,slight,slight,none,2.0,increased,firm,33.0,6.3,serosanguious,,0,yes,4205,0,0,yes
67,yes,young,529654,37.3,40.0,14.0,,,,,,,,significant,,,,,65.0,65.0,,,1,yes,2208,0,0,no
68,yes,adult,5281803,,60.0,40.0,,reduced,bright_pink,less_3_sec,extreme_pain,hypomotile,severe,,none,,,,40.0,5.0,,,0,yes,3206,0,0,no
69,yes,adult,529853,36.6,39.0,11.0,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,,absent,distend_small,42.0,5.0,serosanguious,6.3,1,no,5346,0,0,yes
70,yes,adult,5279550,37.5,48.0,16.0,,,normal_pink,,alert,,,,,,,,46.0,64.0,,,1,yes,3111,0,0,yes
71,yes,adult,529650,,,21.0,,,,,,,,,,,,,31.5,,,,1,no,0,0,0,no
72,no,adult,530407,36.5,72.0,16.0,cool,,dark_cyanotic,,,,,,more_1_liter,,,,50.0,7.4,,,0,no,641,0,0,no
73,yes,adult,530187,39.0,,20.0,warm,reduced,dark_cyanotic,,mild_pain,absent,none,slight,none,,absent,distend_large,46.0,6.1,,,0,yes,2112,0,0,yes
74,no,adult,528281,37.0,60.0,12.0,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.0,normal,,48.0,5.5,cloudy,2.9,1,yes,5398,0,0,yes
75,yes,adult,530514,38.4,,20.0,cool,normal,pale_cyanotic,less_3_sec,severe_pain,hypomotile,moderate,none,none,2.0,absent,distend_large,37.0,7.5,cloudy,6.9,0,yes,22514,0,0,yes
76,yes,adult,535403,36.6,40.0,30.0,,normal,normal_pink,less_3_sec,severe_pain,hypomotile,,,,,decreased,,31.6,65.0,clear,1.9,0,yes,3206,0,0,no
77,yes,adult,528154,38.9,52.0,57.0,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,,significant,,,absent,distend_small,44.0,78.3,clear,2.6,1,no,0,0,0,yes
78,yes,adult,528295,38.9,144.0,16.0,,,dark_cyanotic,,extreme_pain,,,,none,,,,45.0,6.8,,,0,yes,3206,0,0,yes
79,yes,adult,5283257,,,,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,significant,more_1_liter,,,distend_small,58.0,7.3,,,0,yes,4205,0,0,no
80,yes,adult,532247,36.8,72.0,34.0,warm,,normal_pink,less_3_sec,severe_pain,,none,,,,normal,,38.0,5.7,clear,6.0,1,yes,3206,0,0,no
81,yes,adult,528890,37.5,100.0,22.0,cool,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,,,,37.0,6.6,,,1,no,7111,0,0,no
82,yes,adult,529536,39.5,40.0,20.0,normal,reduced,normal_pink,more_3_sec,alert,normal,none,slight,none,,,,45.0,6.0,,,1,yes,3111,0,0,no
83,yes,adult,528981,38.8,88.0,46.0,,,,less_3_sec,,,,,,,,,,5.0,,,1,no,0,0,0,no
84,yes,adult,529368,37.2,44.0,24.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,,,increased,distend_large,46.0,7.6,,,1,no,3111,0,0,yes
85,yes,adult,528670,36.8,72.0,34.0,cold,_RARE_,bright_red,more_3_sec,depressed,hypomotile,none,,less_1_liter,,normal,,31.2,50.0,,,0,no,0,0,0,no
86,yes,adult,535183,37.4,143.0,22.0,cool,normal,bright_red,less_3_sec,alert,absent,none,slight,none,,,,35.0,7.7,,,1,no,3111,0,0,no
87,no,adult,530894,36.5,137.0,32.0,warm,normal,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,severe,,,,decreased,,31.0,8.9,clear,,1,yes,3205,0,0,no
88,yes,adult,528961,37.5,48.0,14.0,,normal,normal_pink,less_3_sec,,,moderate,slight,less_1_liter,,decreased,,31.6,,,,1,no,2117,0,0,no
89,yes,adult,533946,38.4,46.0,,cold,,pale_pink,less_3_sec,depressed,hypomotile,none,,,,decreased,,50.0,5.3,,,1,yes,3111,0,0,no
90,no,adult,529363,38.1,64.0,34.0,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,7.0,normal,distend_large,51.0,6.0,,,1,yes,3111,0,0,no
91,yes,adult,530022,39.5,39.0,83.0,cold,normal,dark_cyanotic,less_3_sec,mild_pain,,,significant,none,,,distend_large,36.0,8.8,cloudy,3.6,0,yes,1860,0,0,yes
92,no,adult,528896,,60.0,40.0,,reduced,pale_cyanotic,,severe_pain,absent,,none,more_1_liter,3.0,absent,,57.0,6.5,,,0,yes,3160,0,0,no
93,yes,adult,534090,38.3,48.0,14.0,normal,reduced,pale_pink,less_3_sec,depressed,normal,slight,slight,none,,,,37.0,6.2,,,1,no,0,0,0,no
94,yes,adult,534803,37.0,92.0,38.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,,less_1_liter,2.0,,,68.0,66.1,cloudy,2.0,1,yes,3205,0,0,no
95,no,adult,529662,37.9,84.0,30.0,,reduced,bright_pink,less_3_sec,alert,hypomotile,moderate,slight,none,,decreased,other,40.0,6.5,clear,,1,no,2167,0,0,yes
96,no,young,527257,37.2,62.0,10.0,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,,decreased,distend_large,46.0,4.9,,,0,yes,4755,0,0,no
97,yes,young,528920,39.5,72.0,32.0,,,,more_3_sec,,,,,less_1_liter,,,,60.0,6.0,,,1,no,3205,0,0,no
98,yes,adult,528644,38.2,59.0,54.0,,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,less_1_liter,,decreased,,43.0,80.0,clear,1.0,1,no,0,0,0,no
99,no,adult,530012,37.3,84.0,36.0,cool,normal,pale_pink,less_3_sec,depressed,absent,none,slight,less_1_liter,,absent,distend_small,46.0,8.6,clear,3.6,0,yes,3113,0,0,no
100,yes,adult,527867,36.8,38.0,30.0,,,,less_3_sec,,,,,,,,normal,31.1,,,,1,yes,4205,0,0,no
101,yes,adult,5294768,38.5,100.0,22.0,cool,normal,normal_pink,less_3_sec,depressed,absent,severe,significant,,,,,32.0,4.8,clear,,1,no,2168,0,0,no
102,no,adult,534656,38.5,48.0,16.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,none,none,,decreased,normal,33.0,78.5,,,1,no,0,0,0,no
103,yes,adult,527977,38.8,42.0,,cool,_RARE_,bright_pink,more_3_sec,alert,hypermotile,,slight,none,,,normal,47.0,55.0,cloudy,4.8,1,yes,2178,0,0,yes
104,no,adult,530028,,,10.0,,normal,bright_pink,less_3_sec,depressed,,slight,none,,,decreased,distend_large,44.0,7.0,,,1,no,3205,0,0,no
105,yes,adult,534393,38.5,95.0,16.0,cool,normal,pale_pink,less_3_sec,,,severe,none,none,,normal,,47.0,6.6,cloudy,1.0,1,yes,3111,0,0,yes
106,yes,adult,534514,,38.0,26.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,,,decreased,other,43.0,8.0,,,1,no,0,0,0,no
107,yes,adult,528163,36.7,,,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,,normal,distend_small,70.0,6.0,clear,,1,yes,2285,0,0,yes
108,no,adult,527681,38.0,42.0,12.0,cool,_RARE_,normal_pink,less_3_sec,alert,hypermotile,,none,none,5.0,,firm,47.0,6.6,,,1,no,0,0,0,no
109,no,adult,527022,37.7,96.0,,,,,,,,,,,,,,,,,,1,no,0,0,0,no
110,yes,adult,527017,,,,cool,absent,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,,,decreased,normal,44.0,76.0,clear,2.0,0,yes,2208,0,0,no
111,yes,adult,535292,38.0,48.0,38.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,absent,distend_small,36.0,73.6,,,1,yes,29094,0,0,no
112,yes,adult,534541,38.0,44.0,34.0,,reduced,bright_pink,,mild_pain,hypomotile,,,,,,,37.0,65.0,clear,1.0,1,no,3111,0,0,no
113,no,adult,529675,36.9,39.0,32.0,,,,less_3_sec,severe_pain,hypomotile,slight,,,,,,53.0,55.2,cloudy,1.0,0,no,0,0,0,no
114,yes,adult,5266163,37.8,142.0,22.0,cold,normal,,less_3_sec,mild_pain,hypomotile,moderate,none,none,,decreased,,31.0,7.0,cloudy,3.3,1,yes,2118,0,0,yes
115,no,adult,529790,,70.0,,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,none,none,,normal,distend_large,53.0,8.6,serosanguious,1.6,0,yes,4387,0,0,yes
116,yes,adult,534542,39.5,140.0,30.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,none,slight,none,,absent,,,8.5,clear,4.4,1,no,2111,0,0,yes
117,yes,adult,528504,38.2,40.0,28.0,normal,,bright_red,less_3_sec,extreme_pain,hypomotile,none,none,less_1_liter,,,distend_large,47.0,6.0,,,1,yes,3206,0,0,no
118,yes,adult,534162,37.5,42.0,60.0,,normal,normal_pink,more_3_sec,,hypermotile,slight,none,more_1_liter,2.0,normal,,39.0,6.1,,,1,yes,0,0,0,no
119,no,adult,528250,36.7,90.0,32.0,cold,,bright_red,more_3_sec,extreme_pain,absent,severe,slight,none,,absent,distend_large,60.0,7.6,,,0,yes,3205,0,0,no
120,yes,adult,526835,38.5,,40.0,normal,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,,none,,,,50.0,,,,0,yes,3205,0,0,no
121,yes,adult,5298398,,80.0,10.0,normal,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,none,2.0,normal,distend_large,53.0,6.5,clear,,0,yes,11344,0,0,no
122,no,adult,5298767,39.5,48.0,24.0,normal,normal,bright_pink,less_3_sec,severe_pain,,slight,none,more_1_liter,7.0,normal,normal,39.0,7.9,,,1,no,0,0,0,no
123,yes,adult,534024,36.8,48.0,40.0,warm,normal,bright_pink,less_3_sec,alert,normal,none,slight,none,,,normal,47.0,7.5,,,1,no,0,0,0,no
124,no,adult,528182,38.0,40.0,10.0,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,none,none,,,distend_small,47.0,7.0,,,1,no,3111,0,0,no
125,yes,adult,533886,38.2,80.0,20.0,cold,reduced,pale_cyanotic,more_3_sec,,absent,severe,,,,,,67.0,5.0,,,1,yes,5524,0,0,no
126,no,adult,534415,38.8,50.0,26.0,warm,,normal_pink,less_3_sec,depressed,hypermotile,slight,none,none,,,firm,57.0,57.0,cloudy,2.6,1,no,0,2921,0,no
127,no,adult,534621,37.5,48.0,28.0,cold,normal,,less_3_sec,,,,slight,none,,decreased,normal,57.0,7.9,clear,2.0,1,yes,2245,0,0,yes
128,yes,adult,529787,38.8,52.0,,,reduced,bright_red,less_3_sec,severe_pain,hypomotile,,,,,,normal,51.0,6.6,cloudy,2.8,0,yes,11593,0,0,yes
129,yes,adult,527899,,135.0,,cool,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,3.0,absent,distend_small,55.0,6.5,serosanguious,,0,no,3111,0,0,yes
130,yes,adult,530538,38.1,84.0,,,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,severe,,more_1_liter,,absent,distend_large,55.0,6.8,serosanguious,3.8,0,yes,4206,0,0,yes
131,yes,adult,528154,37.8,40.0,24.0,,,,less_3_sec,mild_pain,,,,,,absent,distend_large,,6.6,,,1,yes,3242,0,0,no
132,yes,adult,530033,,88.0,42.0,,,dark_cyanotic,,,,,,,,,,31.3,,cloudy,3.8,0,yes,5969,0,0,yes
133,yes,adult,534965,38.2,50.0,16.0,cool,normal,pale_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,,normal,,42.0,66.0,,,1,no,0,0,0,no
134,no,adult,534589,38.2,52.0,10.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,none,,decreased,normal,31.0,81.0,,,1,yes,7262,0,0,no
135,yes,young,527171,38.8,106.0,41.0,cool,,pale_pink,less_3_sec,depressed,hypomotile,moderate,none,none,,,,40.0,7.5,,,0,yes,2206,0,0,yes
136,no,adult,534483,37.5,48.0,10.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,,decreased,other,39.0,7.2,,,1,no,3111,0,0,no
137,no,adult,533918,38.3,44.0,24.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,,,,normal,normal,33.0,65.0,clear,1.0,1,no,0,0,0,no
138,yes,adult,530005,38.0,80.0,36.0,cold,reduced,,,depressed,absent,moderate,slight,more_1_liter,7.0,absent,,31.8,5.2,serosanguious,3.0,0,yes,4135,0,0,no
139,yes,adult,528615,36.7,139.0,30.0,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,severe,none,none,,decreased,,58.0,6.5,,,0,yes,2205,0,0,no
140,no,adult,534031,38.5,39.0,,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,none,none,,normal,distend_large,45.0,57.0,cloudy,1.0,1,no,0,0,0,no
141,yes,adult,534078,37.6,88.0,16.0,warm,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,,,,increased,normal,31.3,65.0,cloudy,1.0,1,yes,1597,0,0,yes
142,yes,adult,528172,37.1,68.0,16.0,cool,normal,normal_pink,less_3_sec,mild_pain,normal,none,none,none,,decreased,distend_large,38.0,8.7,cloudy,6.0,1,no,2121,0,0,yes
143,no,adult,5297020,,106.0,,,,,less_3_sec,,,,,,,,,45.0,,,,0,yes,4169,0,0,no
144,yes,adult,533813,38.6,48.0,24.0,warm,,normal_pink,less_3_sec,alert,hypomotile,,,,2.0,,other,35.0,62.0,,,1,yes,0,0,0,no
145,yes,adult,529667,38.6,140.0,24.0,normal,normal,bright_pink,less_3_sec,,hypomotile,none,slight,,,decreased,,49.0,5.3,clear,,1,no,3111,0,0,yes
146,yes,adult,530391,38.0,60.0,28.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,,,normal,normal,44.0,7.4,,,1,no,3111,0,0,no
147,no,adult,530030,,90.0,62.0,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,hypomotile,severe,,less_1_liter,,absent,,65.0,8.9,,,0,yes,2205,0,0,no
148,no,adult,530019,38.6,86.0,20.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,5.0,,,41.0,7.0,serosanguious,3.6,1,yes,2131,0,0,yes
149,yes,adult,530123,37.9,42.0,40.0,warm,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,2.0,absent,distend_large,39.0,6.4,,,1,yes,3111,0,0,no
150,yes,adult,529320,36.8,62.0,11.0,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,,absent,distend_large,48.0,7.5,,,0,yes,3206,0,0,no
151,no,young,530064,,38.0,12.0,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,,,,absent,distend_large,39.0,6.6,,,1,no,519,1985,0,no
152,no,adult,534137,,74.0,30.0,cool,reduced,pale_pink,more_3_sec,mild_pain,hypermotile,,none,none,2.0,,normal,56.0,8.1,cloudy,2.0,1,no,4205,0,0,yes
153,yes,adult,529964,38.0,,42.0,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,none,more_1_liter,,absent,distend_large,63.0,,serosanguious,1.5,0,yes,2206,0,0,yes
