id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
52,yes,adult,530190,39.2,,16,cold,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,none,2,decreased,,65,6.5,serosanguious,1.3,0,yes,2205,0,0,yes
53,no,adult,530165,38,86,38,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,significant,less_1_liter,4,absent,distend_large,66,6.3,cloudy,,0,yes,1653,0,0,yes
54,yes,adult,528762,38,38,16,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,,normal,distend_large,43,8,serosanguious,1,1,yes,2208,0,0,yes
55,yes,young,527138,,,,cool,_RARE_,pale_cyanotic,more_3_sec,severe_pain,absent,,none,none,,,normal,,,,,1,yes,5648,0,0,no
56,yes,adult,534186,36.7,48,16,cool,normal,,,,hypomotile,severe,,,,,,37,56,,,1,yes,3111,0,0,no
57,yes,young,528157,37.5,76,26,normal,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.5,normal,distend_large,50,5,clear,2.4,0,yes,2292,0,0,yes
58,no,adult,5298162,,70,28,cool,reduced,pale_cyanotic,_RARE_,extreme_pain,absent,severe,,less_1_liter,,decreased,distend_large,68,7.5,,,0,yes,2306,0,0,yes
59,yes,adult,5276939,39.5,100,,,,pale_pink,_RARE_,alert,normal,,,,,,,,,clear,,1,no,2208,0,0,yes
60,yes,adult,1613187,38.5,62,15,normal,normal,,less_3_sec,mild_pain,hypermotile,slight,slight,,,normal,,34,76,clear,2,1,no,0,0,0,yes
61,no,adult,527473,37.7,42,40,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,none,,more_1_liter,,absent,distend_large,,7,,,0,yes,2208,0,0,no
62,yes,young,535176,39,145,35,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,,absent,,58,,cloudy,2.3,0,yes,4205,0,0,yes
63,no,adult,535254,38.8,40,46,cold,normal,normal_pink,less_3_sec,alert,absent,slight,none,,,,other,31,63,,,1,no,0,0,0,no
64,no,adult,535253,39.5,38,82,,,,less_3_sec,mild_pain,normal,slight,,,,,,31.9,,,,0,no,0,0,0,no
65,yes,young,529963,,52,28,,,,less_3_sec,severe_pain,,,,,,absent,,,,cloudy,2.6,0,no,3206,0,0,yes
66,yes,adult,530392,,60,12,cool,normal,bright_pink,more_3_sec,mild_pain,hypomotile,slight,slight,none,2,increased,firm,33,6.3,serosanguious,,0,yes,4205,0,0,yes
67,yes,young,529654,37.3,40,14,,,,,,,,significant,,,,,65,65,,,1,yes,2208,0,0,no
68,yes,adult,5281803,,60,40,,reduced,bright_pink,less_3_sec,extreme_pain,hypomotile,severe,,none,,,,40,5,,,0,yes,3206,0,0,no
69,yes,adult,529853,36.6,39,11,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,,absent,distend_small,42,5,serosanguious,6.3,1,no,5346,0,0,yes
70,yes,adult,5279550,37.5,48,16,,,normal_pink,,alert,,,,,,,,46,64,,,1,yes,3111,0,0,yes
71,yes,adult,529650,,,21,,,,,,,,,,,,,31.5,,,,1,no,0,0,0,no
72,no,adult,530407,36.5,72,16,cool,,dark_cyanotic,,,,,,more_1_liter,,,,50,7.4,,,0,no,641,0,0,no
73,yes,adult,530187,39,,20,warm,reduced,dark_cyanotic,,mild_pain,absent,none,slight,none,,absent,distend_large,46,6.1,,,0,yes,2112,0,0,yes
74,no,adult,528281,37,60,12,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5,normal,,48,5.5,cloudy,2.9,1,yes,5398,0,0,yes
75,yes,adult,530514,38.4,,20,cool,normal,pale_cyanotic,less_3_sec,severe_pain,hypomotile,moderate,none,none,2,absent,distend_large,37,7.5,cloudy,6.9,0,yes,22514,0,0,yes
76,yes,adult,535403,36.6,40,30,,normal,normal_pink,less_3_sec,severe_pain,hypomotile,,,,,decreased,,31.6,65,clear,1.9,0,yes,3206,0,0,no
77,yes,adult,528154,38.9,52,57,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,,significant,,,absent,distend_small,44,78.3,clear,2.6,1,no,0,0,0,yes
78,yes,adult,528295,38.9,144,16,,,dark_cyanotic,,extreme_pain,,,,none,,,,45,6.8,,,0,yes,3206,0,0,yes
79,yes,adult,5283257,,,,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,significant,more_1_liter,,,distend_small,58,7.3,,,0,yes,4205,0,0,no
80,yes,adult,532247,36.8,72,34,warm,,normal_pink,less_3_sec,severe_pain,,none,,,,normal,,38,5.7,clear,6,1,yes,3206,0,0,no
81,yes,adult,528890,37.5,100,22,cool,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,,,,37,6.6,,,1,no,7111,0,0,no
82,yes,adult,529536,39.5,40,20,normal,reduced,normal_pink,more_3_sec,alert,normal,none,slight,none,,,,45,6,,,1,yes,3111,0,0,no
83,yes,adult,528981,38.8,88,46,,,,less_3_sec,,,,,,,,,,5,,,1,no,0,0,0,no
84,yes,adult,529368,37.2,44,24,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,,,increased,distend_large,46,7.6,,,1,no,3111,0,0,yes
85,yes,adult,528670,36.8,72,34,cold,_RARE_,bright_red,more_3_sec,depressed,hypomotile,none,,less_1_liter,,normal,,31.2,50,,,0,no,0,0,0,no
86,yes,adult,535183,37.4,143,22,cool,normal,bright_red,less_3_sec,alert,absent,none,slight,none,,,,35,7.7,,,1,no,3111,0,0,no
87,no,adult,530894,36.5,137,32,warm,normal,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,severe,,,,decreased,,31,8.9,clear,,1,yes,3205,0,0,no
88,yes,adult,528961,37.5,48,14,,normal,normal_pink,less_3_sec,,,moderate,slight,less_1_liter,,decreased,,31.6,,,,1,no,2117,0,0,no
89,yes,adult,533946,38.4,46,,cold,,pale_pink,less_3_sec,depressed,hypomotile,none,,,,decreased,,50,5.3,,,1,yes,3111,0,0,no
90,no,adult,529363,38.1,64,34,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,7,normal,distend_large,51,6,,,1,yes,3111,0,0,no
91,yes,adult,530022,39.5,39,83,cold,normal,dark_cyanotic,less_3_sec,mild_pain,,,significant,none,,,distend_large,36,8.8,cloudy,3.6,0,yes,1860,0,0,yes
92,no,adult,528896,,60,40,,reduced,pale_cyanotic,,severe_pain,absent,,none,more_1_liter,3,absent,,57,6.5,,,0,yes,3160,0,0,no
93,yes,adult,534090,38.3,48,14,normal,reduced,pale_pink,less_3_sec,depressed,normal,slight,slight,none,,,,37,6.2,,,1,no,0,0,0,no
94,yes,adult,534803,37,92,38,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,,less_1_liter,2,,,68,66.1,cloudy,2,1,yes,3205,0,0,no
95,no,adult,529662,37.9,84,30,,reduced,bright_pink,less_3_sec,alert,hypomotile,moderate,slight,none,,decreased,other,40,6.5,clear,,1,no,2167,0,0,yes
96,no,young,527257,37.2,62,10,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,,decreased,distend_large,46,4.9,,,0,yes,4755,0,0,no
97,yes,young,528920,39.5,72,32,,,,more_3_sec,,,,,less_1_liter,,,,60,6,,,1,no,3205,0,0,no
98,yes,adult,528644,38.2,59,54,,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,less_1_liter,,decreased,,43,80,clear,1,1,no,0,0,0,no
99,no,adult,530012,37.3,84,36,cool,normal,pale_pink,less_3_sec,depressed,absent,none,slight,less_1_liter,,absent,distend_small,46,8.6,clear,3.6,0,yes,3113,0,0,no
100,yes,adult,527867,36.8,38,30,,,,less_3_sec,,,,,,,,normal,31.1,,,,1,yes,4205,0,0,no
101,yes,adult,5294768,38.5,100,22,cool,normal,normal_pink,less_3_sec,depressed,absent,severe,significant,,,,,32,4.8,clear,,1,no,2168,0,0,no
102,no,adult,534656,38.5,48,16,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,none,none,,decreased,normal,33,78.5,,,1,no,0,0,0,no
103,yes,adult,527977,38.8,42,,cool,_RARE_,bright_pink,more_3_sec,alert,hypermotile,,slight,none,,,normal,47,55,cloudy,4.8,1,yes,2178,0,0,yes
104,no,adult,530028,,,10,,normal,bright_pink,less_3_sec,depressed,,slight,none,,,decreased,distend_large,44,7,,,1,no,3205,0,0,no
105,yes,adult,534393,38.5,95,16,cool,normal,pale_pink,less_3_sec,,,severe,none,none,,normal,,47,6.6,cloudy,1,1,yes,3111,0,0,yes
106,yes,adult,534514,,38,26,warm,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,,,decreased,other,43,8,,,1,no,0,0,0,no
107,yes,adult,528163,36.7,,,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,,normal,distend_small,70,6,clear,,1,yes,2285,0,0,yes
108,no,adult,527681,38,42,12,cool,_RARE_,normal_pink,less_3_sec,alert,hypermotile,,none,none,5,,firm,47,6.6,,,1,no,0,0,0,no
109,no,adult,527022,37.7,96,,,,,,,,,,,,,,,,,,1,no,0,0,0,no
110,yes,adult,527017,,,,cool,absent,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,,,decreased,normal,44,76,clear,2,0,yes,2208,0,0,no
111,yes,adult,535292,38,48,38,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,absent,distend_small,36,73.6,,,1,yes,29094,0,0,no
112,yes,adult,534541,38,44,34,,reduced,bright_pink,,mild_pain,hypomotile,,,,,,,37,65,clear,1,1,no,3111,0,0,no
113,no,adult,529675,36.9,39,32,,,,less_3_sec,severe_pain,hypomotile,slight,,,,,,53,55.2,cloudy,1,0,no,0,0,0,no
114,yes,adult,5266163,37.8,142,22,cold,normal,,less_3_sec,mild_pain,hypomotile,moderate,none,none,,decreased,,31,7,cloudy,3.3,1,yes,2118,0,0,yes
115,no,adult,529790,,70,,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,none,none,,normal,distend_large,53,8.6,serosanguious,1.6,0,yes,4387,0,0,yes
116,yes,adult,534542,39.5,140,30,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,none,slight,none,,absent,,,8.5,clear,4.4,1,no,2111,0,0,yes
117,yes,adult,528504,38.2,40,28,normal,,bright_red,less_3_sec,extreme_pain,hypomotile,none,none,less_1_liter,,,distend_large,47,6,,,1,yes,3206,0,0,no
118,yes,adult,534162,37.5,42,60,,normal,normal_pink,more_3_sec,,hypermotile,slight,none,more_1_liter,2,normal,,39,6.1,,,1,yes,0,0,0,no
119,no,adult,528250,36.7,90,32,cold,,bright_red,more_3_sec,extreme_pain,absent,severe,slight,none,,absent,distend_large,60,7.6,,,0,yes,3205,0,0,no
120,yes,adult,526835,38.5,,40,normal,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,,none,,,,50,,,,0,yes,3205,0,0,no
121,yes,adult,5298398,,80,10,normal,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,none,2,normal,distend_large,53,6.5,clear,,0,yes,11344,0,0,no
122,no,adult,5298767,39.5,48,24,normal,normal,bright_pink,less_3_sec,severe_pain,,slight,none,more_1_liter,7,normal,normal,39,7.9,,,1,no,0,0,0,no
123,yes,adult,534024,36.8,48,40,warm,normal,bright_pink,less_3_sec,alert,normal,none,slight,none,,,normal,47,7.5,,,1,no,0,0,0,no
124,no,adult,528182,38,40,10,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,none,none,,,distend_small,47,7,,,1,no,3111,0,0,no
125,yes,adult,533886,38.2,80,20,cold,reduced,pale_cyanotic,more_3_sec,,absent,severe,,,,,,67,5,,,1,yes,5524,0,0,no
126,no,adult,534415,38.8,50,26,warm,,normal_pink,less_3_sec,depressed,hypermotile,slight,none,none,,,firm,57,57,cloudy,2.6,1,no,0,2921,0,no
127,no,adult,534621,37.5,48,28,cold,normal,,less_3_sec,,,,slight,none,,decreased,normal,57,7.9,clear,2,1,yes,2245,0,0,yes
128,yes,adult,529787,38.8,52,,,reduced,bright_red,less_3_sec,severe_pain,hypomotile,,,,,,normal,51,6.6,cloudy,2.8,0,yes,11593,0,0,yes
129,yes,adult,527899,,135,,cool,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,3,absent,distend_small,55,6.5,serosanguious,,0,no,3111,0,0,yes
130,yes,adult,530538,38.1,84,,,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,severe,,more_1_liter,,absent,distend_large,55,6.8,serosanguious,3.8,0,yes,4206,0,0,yes
131,yes,adult,528154,37.8,40,24,,,,less_3_sec,mild_pain,,,,,,absent,distend_large,,6.6,,,1,yes,3242,0,0,no
132,yes,adult,530033,,88,42,,,dark_cyanotic,,,,,,,,,,31.3,,cloudy,3.8,0,yes,5969,0,0,yes
133,yes,adult,534965,38.2,50,16,cool,normal,pale_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,,normal,,42,66,,,1,no,0,0,0,no
134,no,adult,534589,38.2,52,10,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,none,,decreased,normal,31,81,,,1,yes,7262,0,0,no
135,yes,young,527171,38.8,106,41,cool,,pale_pink,less_3_sec,depressed,hypomotile,moderate,none,none,,,,40,7.5,,,0,yes,2206,0,0,yes
136,no,adult,534483,37.5,48,10,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,,decreased,other,39,7.2,,,1,no,3111,0,0,no
137,no,adult,533918,38.3,44,24,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,,,,normal,normal,33,65,clear,1,1,no,0,0,0,no
138,yes,adult,530005,38,80,36,cold,reduced,,,depressed,absent,moderate,slight,more_1_liter,7,absent,,31.8,5.2,serosanguious,3,0,yes,4135,0,0,no
139,yes,adult,528615,36.7,139,30,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,severe,none,none,,decreased,,58,6.5,,,0,yes,2205,0,0,no
140,no,adult,534031,38.5,39,,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,none,none,,normal,distend_large,45,57,cloudy,1,1,no,0,0,0,no
141,yes,adult,534078,37.6,88,16,warm,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,,,,increased,normal,31.3,65,cloudy,1,1,yes,1597,0,0,yes
142,yes,adult,528172,37.1,68,16,cool,normal,normal_pink,less_3_sec,mild_pain,normal,none,none,none,,decreased,distend_large,38,8.7,cloudy,6,1,no,2121,0,0,yes
143,no,adult,5297020,,106,,,,,less_3_sec,,,,,,,,,45,,,,0,yes,4169,0,0,no
144,yes,adult,533813,38.6,48,24,warm,,normal_pink,less_3_sec,alert,hypomotile,,,,2,,other,35,62,,,1,yes,0,0,0,no
145,yes,adult,529667,38.6,140,24,normal,normal,bright_pink,less_3_sec,,hypomotile,none,slight,,,decreased,,49,5.3,clear,,1,no,3111,0,0,yes
146,yes,adult,530391,38,60,28,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,,,normal,normal,44,7.4,,,1,no,3111,0,0,no
147,no,adult,530030,,90,62,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,hypomotile,severe,,less_1_liter,,absent,,65,8.9,,,0,yes,2205,0,0,no
148,no,adult,530019,38.6,86,20,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,5,,,41,7,serosanguious,3.6,1,yes,2131,0,0,yes
149,yes,adult,530123,37.9,42,40,warm,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,2,absent,distend_large,39,6.4,,,1,yes,3111,0,0,no
150,yes,adult,529320,36.8,62,11,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,,absent,distend_large,48,7.5,,,0,yes,3206,0,0,no
151,no,young,530064,,38,12,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,,,,absent,distend_large,39,6.6,,,1,no,519,1985,0,no
152,no,adult,534137,,74,30,cool,reduced,pale_pink,more_3_sec,mild_pain,hypermotile,,none,none,2,,normal,56,8.1,cloudy,2,1,no,4205,0,0,yes
153,yes,adult,529964,38,,42,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,none,more_1_liter,,absent,distend_large,63,,serosanguious,1.5,0,yes,2206,0,0,yes
154,yes,adult,5296655,39.1,52,36,normal,normal,bright_pink,more_3_sec,,hypomotile,slight,slight,none,6,normal,distend_small,34,8.7,serosanguious,,1,yes,21525,0,0,no
155,no,adult,529463,37.1,70,26,cool,reduced,,more_3_sec,severe_pain,absent,slight,slight,less_1_liter,5,absent,distend_large,65,7.1,serosanguious,4.3,0,yes,1521,0,0,yes
156,yes,adult,5285527,,39,20,warm,normal,pale_pink,less_3_sec,depressed,hypermotile,slight,none,none,,absent,distend_small,41,6.6,,,1,no,0,0,0,no
157,yes,adult,535159,38.9,40,20,cool,normal,bright_pink,less_3_sec,alert,hypomotile,none,significant,none,,decreased,,33,7,,,1,no,0,0,0,no
158,no,adult,530426,37.6,70,32,normal,,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,5.5,absent,distend_large,46,6.7,cloudy,6.2,1,yes,3112,0,0,yes
159,no,adult,5286914,37.1,78,24,warm,,,less_3_sec,extreme_pain,hypomotile,,,none,,,,35,7,,,1,no,2112,0,0,no
160,no,young,528203,36.9,39,30,cool,_RARE_,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,none,,absent,firm,31.3,,serosanguious,,0,yes,3111,0,0,yes
161,no,adult,530548,,48,,warm,,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,,decreased,normal,43,6.9,cloudy,,1,no,3111,0,0,yes
162,no,adult,530364,37.6,38,60,normal,,pale_pink,less_3_sec,,,moderate,,,,,,48,7.2,,,1,no,0,0,0,yes
163,yes,young,529492,37.9,39,20,cold,,normal_pink,less_3_sec,extreme_pain,hypomotile,none,,,,normal,normal,45,56,cloudy,2,1,yes,598,0,0,no
164,yes,adult,533843,39,60,12,cool,absent,pale_cyanotic,more_3_sec,depressed,hypomotile,none,slight,none,,normal,distend_large,52,5.5,cloudy,1,1,no,2205,0,0,no
165,no,adult,529486,38,145,26,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,slight,,,,,,38,7.6,,,0,no,0,0,0,no
166,yes,adult,526723,,38,11,cool,reduced,,more_3_sec,extreme_pain,absent,slight,none,none,,absent,other,50,7.7,serosanguious,6,0,no,3112,0,0,yes
